age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
15,M,Y,Y,Y,N,2,4.08,1,3,1,3,Y,3,0,N,2,4,4,M,3
15,M,Y,Y,N,N,1,3,2,1,1,4,N,4,2,N,1,4,4,M,1
17,F,Y,Y,Y,N,1,4.833,1,2,4,0,Y,1,0,N,3,3,2,M,2
16,M,N,Y,Y,N,2,3.8,1,1,1,4,Y,1,0,Y,2,3,2,M,3
16,M,Y,Y,Y,N,1,4.2,2,1,2,2,Y,2,1,N,3,4,5,D,2
16,F,Y,Y,N,N,1,4.5,1,1,2,5,Y,2,0,Y,4,5,5,M,2
15,F,N,Y,Y,N,1,4.25,3,3,2,0,Y,5,0,Y,2,4,4,C,3
17,M,Y,N,N,N,1,3,2,2,2,2,N,1,4,N,1,4,5,M,1
15,F,Y,N,N,Y,1,2.7,2,2,1,4,Y,1,1,N,2,5,5,D,2
15,F,N,Y,Y,N,1,3.9,1,2,4,6,Y,1,0,N,2,5,5,M,2
16,M,Y,N,Y,Y,1,2.4,2,1,2,5,Y,1,0,N,1,4,4,M,2
16,M,N,Y,Y,N,5,2.98,2,3,2,0,N,2,1,N,1,4,5,M,1
16,M,N,Y,N,N,3,3.6,1,1,1,0,N,5,2,N,2,5,5,M,2
15,M,N,N,Y,N,1,1.8,1,2,1,3,N,5,2,Y,1,5,5,M,2
15,M,N,N,Y,N,,3.2,1,2,1,5,Y,,3,Y,3,4,4,M,1
15,F,N,N,N,Y,1,,1,1,1,5,N,1,0,N,1,3,2,M,3
15,F,N,Y,Y,N,1,,3,2,1,5,Y,,0,N,2,4,4,M,3
15,F,Y,N,Y,N,1,4.1,1,2,2,2,N,1,1,N,2,5,4,M,2
15,F,Y,Y,N,N,1,3.5,3,2,1,2,Y,2,0,N,5,4,4,M,3
15,M,N,N,N,N,1,,3,2,1,0,Y,1,0,Y,1,4,4,D,1
15,M,N,Y,Y,N,1,2.1,4,1,1,10,Y,4,0,N,1,3,3,M,1
16,F,N,N,Y,N,1,3.3,2,1,2,0,Y,2,0,Y,2,5,4,M,2
16,F,N,N,N,N,1,2.5,3,1,1,3,Y,5,,Y,1,4,4,M,2
16,M,Y,N,N,N,1,3.1,2,1,1,2,Y,5,3,Y,1,2,4,M,2
15,F,N,Y,N,N,1,,2,2,1,1,Y,1,0,N,2,3,5,M,3
15,F,N,N,N,N,,,2,2,1,,Y,1,1,N,3,2,2,D,2
15,F,N,Y,N,N,1,3,1,2,1,0,Y,1,0,N,2,4,3,D,3
16,M,Y,N,N,N,4,3,1,2,1,10,Y,2,1,N,1,4,5,M,1
15,F,N,N,N,N,1,2.6,1,2,2,2,Y,1,3,N,2,4,2,D,1
16,M,N,,N,N,1,,3,2,2,0,N,4,0,Y,2,4,4,M,1
15,F,N,Y,Y,Y,1,3.8,1,3,1,0,Y,1,4,N,2,3,3,M,3
15,F,N,Y,Y,Y,1,3.5,2,2,2,0,Y,2,0,N,1,4,4,M,2
16,M,N,Y,Y,N,3,2,2,2,1,0,Y,,1,N,5,3,3,M,1
18,M,Y,N,Y,N,1,1.9,1,0,0,2,Y,0,6,,1,,,M,1
18,M,N,Y,N,Y,1,3.2,3,2,0,,Y,4,5,N,2,4,4,M,2
17,M,N,Y,Y,N,2,4.3,3,5,0,2,Y,1,1,N,4,4,4,M,1
17,M,Y,Y,N,N,1,3.8,1,,3,10,Y,1,1,N,5,4,4,M,1
18,M,N,N,Y,N,3,4.1,4,12,0,5,Y,2,1,Y,0,4,4,M,1
18,M,Y,Y,Y,N,3,4.3,3,5,2,10,Y,3,1,Y,4,5,5,M,1
